,name,z_cmb,m_b,dm_b
409,21006,0.29003,21.3714,0.15315
410,21033,0.22796,20.83435,0.15045
411,21042,0.31032,21.45975,0.15795
412,21062,0.13712,20.12265,0.11415
413,21502,0.08798,18.6796,0.1066
414,722,0.08534,18.62285,0.1057
415,762,0.19024,20.6486,0.11825
416,774,0.09278,18.8576,0.109
417,1032,0.12891,19.58985,0.12795
418,1253,0.26136,21.1668,0.15835
419,2017,0.26132,21.4559,0.17885
420,2246,0.1957,20.61715,0.12925
421,2308,0.14723,19.83975,0.1218
422,2330,0.21154,21.14485,0.1818
423,2372,0.17972,20.30175,0.11325
424,2440,0.1907,20.6928,0.11925
425,2533,0.3385,21.7897,0.1618
426,2561,0.11762,19.41925,0.10595
427,2789,0.28854,21.5295,0.1639
428,2943,0.26377,21.2679,0.15695
429,3199,0.24931,21.38165,0.1409
430,3452,0.22939,20.8794,0.1271
431,3592,0.08575,18.608,0.10035
432,4000,0.27631,21.62545,0.19055
433,4577,0.36165,22.1744,0.1645
434,5391,0.30006,21.62535,0.16525
435,5395,0.11659,19.38465,0.1036
436,5550,0.15474,19.83105,0.1045
437,5717,0.2501,21.2982,0.13225
438,5736,0.25149,21.209,0.1266
439,5751,0.12941,19.5471,0.1075
440,5844,0.30894,21.72385,0.1693
441,6137,0.29859,21.66705,0.1633
442,6192,0.27057,21.3419,0.169
443,6249,0.29318,21.57975,0.1437
444,6304,0.18988,20.46505,0.1185
445,6406,0.12368,19.4023,0.1022
446,6649,0.31262,21.63085,0.14295
447,6699,0.3088,21.83605,0.15525
448,6780,0.20244,20.60265,0.13765
449,6933,0.21139,20.6247,0.1276
450,6936,0.1787,20.4025,0.1152
451,7143,0.30317,21.872,0.13765
452,7473,0.21432,20.8217,0.1308
453,7475,0.32007,21.6956,0.1358
454,7512,0.21791,20.9318,0.14225
455,7876,0.07523,18.2988,0.10185
456,8046,0.2574,21.37115,0.15
457,8213,0.18446,20.3647,0.13065
458,8719,0.11639,19.29475,0.10185
459,10028,0.06481,17.87655,0.1109
460,10434,0.10298,19.16045,0.103
461,10805,0.04437,16.92415,0.11995
462,12843,0.16576,19.9345,0.12155
463,12853,0.16799,20.0523,0.1219
464,12855,0.17043,20.12375,0.14255
465,12860,0.12029,19.52005,0.11295
466,12928,0.13855,19.76995,0.1308
467,12971,0.23353,20.92065,0.1527
468,12977,0.24615,21.0223,0.14645
469,13025,0.22259,21.0804,0.1546
470,13045,0.17893,20.2809,0.1225
471,13070,0.19694,20.5818,0.1167
472,13072,0.22889,20.99445,0.14355
473,13099,0.26419,21.45355,0.1665
474,13135,0.1034,19.10195,0.1007
475,13305,0.21313,20.73185,0.12325
476,13354,0.1568,19.944,0.1104
477,13506,0.24317,21.24885,0.15475
478,13511,0.23823,21.2481,0.14335
479,13641,0.20827,20.70195,0.1319
480,13655,0.25085,21.4064,0.1659
481,13727,0.2251,20.861,0.12955
482,13757,0.28707,21.45405,0.14295
483,13830,0.32944,21.65335,0.14295
484,13835,0.24575,21.128,0.1225
485,13894,0.11981,19.65185,0.142
486,13934,0.32891,22.21015,0.20955
487,14157,0.21037,20.57655,0.1203
488,14212,0.20284,20.7349,0.1164
489,14261,0.28403,21.2982,0.13635
490,14284,0.18046,20.13755,0.10565
491,14298,0.26043,21.31275,0.1521
492,14437,0.14774,19.8403,0.1023
493,14456,0.32753,21.80515,0.13855
494,14481,0.24177,21.3452,0.1569
495,14846,0.22308,20.93075,0.1281
