,z,dl_ries,erro_ries
387,0.23517,1108.1026666298237,0.42782031027829376
388,0.15298,701.3422462951929,0.3444667299119093
389,0.20982,1064.0205112839874,0.45683288245001874
390,0.29121,1412.179816259874,0.43772142617816817
391,0.31353,1623.678350482443,0.43622474586772203
392,0.13672,622.3576037831402,0.35413758730248424
393,0.29532,1585.4771962622135,0.5353510341211157
394,0.30369,1397.1724066997974,0.40295239127395804
395,0.20532,982.4489662212742,0.40318264978325746
396,0.12175,517.9048761701797,0.3178718720878281
397,0.17424,782.3120144022499,0.3464239272409542
398,0.24862,1220.562436028735,0.41435018748427854
399,0.2453,1172.6813005662423,0.41688303108657204
400,0.13816,654.4854558704391,0.36127560109076584
401,0.24288,1126.1338164199474,0.36265715214656224
402,0.24237,1210.347284074052,0.4419812086002071
403,0.31437,1313.2880726606704,0.40755756145994615
404,0.2754,1366.7843582393507,0.4443989229478509
405,0.30004,1349.2113936256223,0.45786904574186604
406,0.21735,1058.741654405521,0.45280335853727915
407,0.20311,913.4399460245214,0.3811929621451643
408,0.19005,845.7071454559205,0.44946461015243777
409,0.29003,1319.106924122585,0.4447443107118
410,0.22796,1030.077734875657,0.43852733096071606
411,0.31032,1373.883791690016,0.45579671915817144
412,0.13712,742.2154663961691,0.3549434920850322
413,0.08798,381.8739205849916,0.33755897463292717
414,0.08534,372.0231793816617,0.3354866480492325
415,0.19024,945.6272963411586,0.36438409096630775
416,0.09278,414.49567182952467,0.34308517885611284
417,0.12891,580.7243011221902,0.38671916636835
418,0.26136,1200.4940170840625,0.456717753195369
419,0.26132,1371.4500668726123,0.503920747601747
420,0.1957,932.0302327098068,0.3897125269892423
421,0.14723,651.553376887944,0.3725582680464366
422,0.21154,1188.4201314471907,0.5107133736260794
423,0.17972,806.0277611464732,0.3528711655013375
424,0.1907,965.0726323073227,0.36668667605930183
425,0.3385,1599.3370567708914,0.4646616717661985
426,0.11762,536.8463441872362,0.33606229432248097
427,0.28854,1418.7308092351439,0.46949710046148596
428,0.26377,1257.708511500188,0.45349413406517736
429,0.24931,1325.3482226088936,0.41653764332262294
430,0.22939,1051.6712461692794,0.38476196903930504
431,0.08575,369.48771225393233,0.32316781780171433
432,0.27631,1482.8253431456685,0.5308609931897773
433,0.36165,1909.3256195084623,0.4708786515172824
434,0.30006,1482.7570580873873,0.472605590337028
435,0.11659,528.3600833279859,0.330651219353945
436,0.15474,648.9481519455463,0.3327235459376396
437,0.2501,1275.3811679969556,0.39662028226822443
438,0.25149,1224.0523724999107,0.38361067649280806
439,0.12941,569.40332649788,0.3396313012166218
440,0.30894,1551.5650918858012,0.4819310599636538
441,0.29859,1511.5064334061317,0.46811554940568956
442,0.27057,1301.3077012932742,0.4812402844357556
443,0.29318,1451.9444466828568,0.42298488158300623
444,0.18988,868.9804380699704,0.36495973723955627
445,0.12368,532.672161144446,0.32742760022375333
446,0.31262,1486.5174099970425,0.42125794276326073
447,0.3088,1633.8417894650527,0.44957973940708745
448,0.20244,925.8273367987194,0.40905424177039224
449,0.21139,935.2764520044354,0.3859132615858021
450,0.1787,844.306241909012,0.35736120643267594
451,0.30317,1661.1161476000157,0.40905424177039224
452,0.21432,1024.0944204749728,0.39328153388338305
453,0.32007,1531.5105752344778,0.4047944593483533
454,0.21791,1077.3578985571107,0.41964613319816485
455,0.07523,320.44979640873476,0.3266216954412054
456,0.2574,1318.9550650674882,0.43749116766886875
457,0.18446,829.7361273132691,0.39293614611943395
458,0.11639,506.93234217223295,0.3266216954412054
459,0.06481,263.8213874585235,0.3474600905328015
460,0.10298,476.5297290963014,0.3292696682981485
461,0.04437,170.14923467671844,0.36829848562439765
462,0.16576,680.6126238014971,0.37198262177318814
463,0.16799,718.5549739737369,0.372788526555736
464,0.17043,742.5915447820196,0.4203369087260631
465,0.12029,562.3542737269503,0.3521803899734393
466,0.13855,630.9428163176981,0.39328153388338305
467,0.23353,1071.8400976168568,0.4437081474199527
468,0.24615,1123.2075136749822,0.42931699058873984
469,0.22259,1153.6657513340222,0.4480830590966413
470,0.17893,798.325496938623,0.3741700776115325
471,0.19694,916.9802882197373,0.360815084072167
472,0.22889,1108.8939142043614,0.4226394938190572
473,0.26419,1369.966665871299,0.4754838217032705
474,0.1034,463.86328578619174,0.3239737225842622
475,0.21313,982.5847059382785,0.375897016431278
476,0.1568,683.5967668381046,0.34630879798630454
477,0.24317,1246.723081601568,0.44842844686059047
478,0.23823,1246.2925530580726,0.42217897680045835
479,0.20827,969.1477682383327,0.3958143774856765
480,0.25085,1340.5406873962627,0.47410227064747407
481,0.2251,1042.7975448505067,0.3904033025171405
482,0.28707,1370.2821486734792,0.42125794276326073
483,0.32944,1502.0002328660655,0.42125794276326073
484,0.24575,1179.234020653005,0.3741700776115325
485,0.11981,597.544151402224,0.41907048692491633
486,0.32891,1941.019953870226,0.5746101099566642
487,0.21037,914.7659696938556,0.36910439040694554
488,0.20284,983.9657914184742,0.3601243085442688
489,0.28403,1275.3811679969556,0.4060608811495
490,0.18046,747.3258418065958,0.33537151879458277
491,0.26043,1283.9555828128016,0.4423265963641563
492,0.14774,651.7184260694712,0.32765785873305275
493,0.32753,1610.756898480016,0.41112656835408695
494,0.24177,1303.2868100757826,0.4533790048105277
495,0.22308,1076.8370757575574,0.3870645541322991
496,0.18261,917.0014027142456,0.40893911251574255
497,0.15286,702.231004058285,0.3280032464970018
498,0.13806,611.8570944175164,0.3280032464970018
499,0.2071,1132.374289053792,0.5198085847434059
500,0.20291,942.6055662158683,0.37048594146274194
501,0.19777,879.4476646813769,0.3891368807159938
502,0.2223,1079.244887417622,0.41262324866453304
503,0.27307,1280.1179872514203,0.42609337145854825
504,0.18628,893.3671932213515,0.354252716557134
505,0.15933,651.0734714436254,0.3347958725213343
506,0.21911,1054.5811395251542,0.382459383946311
507,0.17354,875.4674427607952,0.38752507115089796
508,0.2441,1091.566000394845,0.4257479836945991
509,0.13366,581.8218139514756,0.3246644981121605
510,0.28313,1364.017681395876,0.4051398471123024
511,0.17365,815.9809128447512,0.40824833698784435
512,0.1963,971.829325485362,0.40732730295064673
513,0.36924,1988.4285951300496,0.4219487182911589
514,0.20562,910.2485588284554,0.37060107071739173
515,0.17371,798.785182331175,0.3837258057474578
516,0.12672,563.8972803349493,0.34469698842120866
517,0.284,1382.9293697959445,0.44082991605371014
518,0.19358,922.9113776465751,0.4054852348762515
519,0.10036,433.9203318627721,0.34872651233394825
520,0.37386,2027.4026041512143,0.28874417066145336
521,0.11787,520.4391992625413,0.3537921995385352
522,0.1919,895.9834752883479,0.4153863507761259
523,0.23657,1119.1028454863363,0.42828082729689254
524,0.15881,700.2127266840007,0.3787752477975206
525,0.07877,395.84029353517025,0.35010806338974465
526,0.13847,701.2453589760001,0.3991531258705179
527,0.23359,1054.2655126013121,0.4460107325129467
528,0.1567,709.4960795063031,0.44865870536988983
529,0.08833,348.48171869470644,0.3595486622710203
530,0.12995,638.6604166801553,0.3722128802824875
531,0.18223,818.8040837107103,0.38280477171026017
532,0.25654,1185.6868409928684,0.43300112673753033
533,0.21651,1019.6708405645404,0.40583062264020064
534,0.14519,672.5583980884188,0.41423505822962886
535,0.13653,579.815738961129,0.3465390564956039
536,0.20493,1078.4499632938328,0.45314874630122826
537,0.36939,1800.9016666711934,0.4508461612082342
538,0.12924,586.69177532381,0.3425095325828643
539,0.26658,1295.5375346599437,0.43208009270033276
540,0.27805,1328.3728785301053,0.41250811940988336
541,0.17461,885.3602101031101,0.3953538604670777
542,0.11376,469.2669841820953,0.3379043623968762
543,0.11229,527.4605702933937,0.32834863426095096
544,0.15333,652.3489985248731,0.33306893370158874
545,0.1965,985.3261298686156,0.4108963098447875
546,0.18914,1054.5082941568369,0.3887914929520446
547,0.17708,873.6751837549149,0.3852224860579039
